 0.0, 0.0, 1281
1.1736, 0.0, 0.0, 1281
2.2101, 0.0, 0.0, 1281
 0.0, 0.0, 1282
2.2741, 0.0, 0.0, 1281
3.3228, 4.4994, 0.180, 1716
3.3381, 4.4994, 0.180, 1715
3.3716, 4.4994, 0.180, 1716
4.4111, 4.4994, 0.180, 1716
4.4416, 4.4994, 0.180, 1715
4.4632267
-21265, 347.347046, 2237
-2.2741, 1.1265, 347.347046, 2235
-2.2650, 1.1265, 347.347046, 2237
-2.2650, 1.1265, 347.347046, 2237
-2.2650, 1.1265, 347.347046, 2237
-2.2619, 1.1265, 347.347046, 2237
-2.2711, 1.1265, 347.347046, 2236
-2.2772, 1.1265, 347.347046, 2237
-2.2802, 1.1265, 347.347046, 2237
-2.2772, 1.1265, 347.347046, 2237
-2.2894, 1.1265, 347.347046, 2237
-2.2619, 1.1265, 347.347046, 2237
-2.2680, 1.1265, 347.347046, 2237
-2.2680, 1.1265, 347.347046, 2236
-2.2711, 1.1265, 347.347046, 2237
-2.2619, 1.1265, 347.347046, 2236
-2.2467, 1.1265, 347.347046, 2237
-2.2528, 1.1265, 347.347046, 2235
-2.2437, 1.1265, 347.347046, 2237
-2.2528, 1.1265, 347.347046, 2237
-2.2558, 1.1265, 347.347046, 2237
-2.2619, 1.1265, 347.347046, 2237
-2.2467, 1.1265, 347.347046, 2236
-2.2437, 1.1265, 347.347046, 2237
-2.2437, 1.1265, 347.347046, 2237
-2.2467, 1.1265, 347.347046, 2263
-2.2315, 1.1265, 347.347046, 2236
-2.2467, 1.1265, 347.347046, 2237
-2.2132, 1.1265, 347.347046, 2237
-2.2223, 1.1265, 347.347046, 2237
-2.2284, 1.1265, 347.347046, 2237
-2.2223, 1.1265, 347.347046, 2236
-2.2223, 1.1265, 347.347046, 2237
-2.2132, 1.1265, 347.347046, 2235
-2.2193, 1.1265, 347.347046, 2237
-2.2223, 1.1265, 347.347046, 2237
-2.2132, 1.1265, 347.347046, 2237
-2.2284, 1.1265, 347.347046, 2237
-2.2132, 1.1265, 347.347046, 2236
-2.2101, 1.1265, 347.347046, 2237
-2.2132, 1.1265, 347.347046, 2236
-2.2193, 1.1265, 347.347046, 2237
-2.2345, 1.1265, 347.347046, 2237
-2.2101, 1.1265, 347.347046, 2237
-2.2254, 1.1265, 347.347046, 2236
-2.2162, 1.1265, 347.347046, 2237
-2.2315, 1.1265, 347.347046, 2237
-2.2284, 1.1265, 347.347046, 2236
-2.2254, 1.1265, 347.347046, 2237
-2.2406, 1.1265, 347.347046, 2235
-2.2528, 1.1265, 347.347046, 2237
-2.2558, 1.1265, 347.347046, 2270
-2.2528, 1.1265, 347.347046, 2237
-2.2711, 1.1265, 347.347046, 2237
-2.2863, 1.1265, 347.347046, 2237
-2.2833, 1.1265, 347.347046, 2237
-2.2894, 1.1265, 347.347046, 2236
-2.2955, 1.1265, 347.347046, 2237
-2.2955, 1.1265, 347.347046, 2236
-2.2955, 1.1265, 347.347046, 2237
-3.3045, 1.1265, 347.347046, 2237
-2.2985, 1.1265, 347.347046, 2237
-2.2955, 1.1265, 347.347046, 2237
-3.3106, 1.1265, 347.347046, 2237
-3.3198, 1.1265, 347.347046, 2237
-3.3259, 1.1265, 347.347046, 2236
-3.3259, 1.1265, 347.347046, 2237
-3.3259, 1.1265, 347.347046, 2235
-3.3350, 1.1265, 347.347046, 2237
-3.3289, 1.1265, 347.347046, 2237
-3.3198, 1.1265, 347.347046, 2237
-3.3259, 1.1265, 347.347046, 2237
-3.3259, 1.1265, 347.347046, 2236
-3.3228, 1.1265, 347.347046, 2237
-3.3228, 1.1265, 347.347046, 2236
-3.3167, 1.1265, 347.347046, 2237
-3.3106, 1.1265, 347.347046, 2237
-3.3320, 1.1265, 347.347046, 2263
-3.3320, 1.1265, 347.347046, 2236
-3.3411, 1.1265, 347.347046, 2237
-3.3320, 1.1265, 347.347046, 2237
-3.3289, 1.1265, 347.347046, 2236
-3.3381, 1.1265, 347.347046, 2237
-3.3320, 1.1265, 347.347046, 2236
-3.3350, 1.1265, 347.347046, 2237
-3.3381, 1.1265, 347.347046, 2237
-3.3411, 1.1265, 347.347046, 2237
-3.3655, 1.1265, 347.347046, 2237
-3.3625, 1.1265, 347.347046, 2236
-3.3564, 1.1265, 347.347046, 2237
-3.3503, 1.1265, 347.347046, 2236
-3.3533, 1.1265, 347.347046, 2237
-3.3625, 1.1265, 347.347046, 2235
-3.3625, 1.1265, 347.347046, 2237
-3.3442, 1.1265, 347.347046, 2237
-3.3472, 1.1265, 347.347046, 2237
-3.3320, 1.1265, 347.347046, 2237
-3.3381, 1.1265, 347.347046, 2236
-3.3259, 1.1265, 347.347046, 2237
-3.3228, 1.1265, 347.347046, 2236
-3.3259, 1.1265, 347.347046, 2237
-3.3198, 1.1265, 347.347046, 2236
-3.3198, 1.1265, 347.347046, 2237
-3.3167, 1.1265, 347.347046, 2267
-3.3076, 1.1265, 347.347046, 2237
-3.3137, 1.1265, 347.347046, 2237
-3.3015, 1.1265, 347.347046, 2237
-3.3015, 1.1265, 347.347046, 2237
-2.2924, 1.1265, 347.347046, 2237
-2.2863, 1.1265, 347.347046, 2237
-2.2680, 1.1265, 347.347046, 2236
-2.2619, 1.1265, 347.347046, 2237
-2.2498, 1.1265, 347.347046, 2235
-2.2558, 1.1265, 347.347046, 2237
-2.2437, 1.1265, 347.347046, 2236
-2.2437, 1.1265, 347.347046, 2237
-2.2437, 1.1265, 347.347046, 2237
-2.2406, 1.1265, 347.347046, 2236
-2.2376, 1.1265, 347.347046, 2237
-2.2315, 1.1265, 347.347046, 2236
-2.2254, 1.1265, 347.347046, 2237
-2.2223, 1.1265, 347.347046, 2236
